role,week_bin,n_episodes,mean_pct,std_pct,min_pct,max_pct
placebo,-20,3,68.79,56.8,23.32,132.46
placebo,-19,3,68.02,50.71,30.7,125.75
placebo,-18,3,60.38,33.83,34.6,98.69
placebo,-17,3,49.69,10.86,39.84,61.33
placebo,-16,3,36.8,12.96,24.23,50.12
placebo,-15,3,33.02,18.2,14.62,51.01
placebo,-14,3,31.38,24.41,5.55,54.07
placebo,-13,3,27.46,25.83,1.56,53.22
placebo,-12,3,29.62,24.38,4.1,52.67
placebo,-11,3,35.06,33.31,-0.35,65.78
placebo,-10,3,38.94,38.54,-1.65,75.03
placebo,-9,3,43.21,43.2,-0.93,85.41
placebo,-8,3,38.66,43.65,-6.45,80.69
placebo,-7,3,31.19,44.27,-11.81,76.62
placebo,-6,3,28.15,46.58,-16.57,76.38
placebo,-5,3,24.71,39.41,-9.44,67.83
placebo,-4,3,23.11,35.46,-5.59,62.75
placebo,-3,3,21.39,31.67,-1.79,57.48
placebo,-2,3,19.85,28.17,2.4,52.34
placebo,-1,3,15.63,31.16,-4.0,51.56
placebo,0,3,17.85,29.14,-5.46,50.52
placebo,1,3,17.45,19.49,-1.31,37.6
placebo,2,3,19.64,15.41,2.67,32.73
placebo,3,3,24.08,9.41,13.3,30.63
placebo,4,3,19.99,10.23,10.16,30.58
placebo,5,3,12.37,1.6,10.55,13.52
placebo,6,3,14.59,9.37,6.12,24.66
placebo,7,3,15.49,17.03,0.56,34.04
placebo,8,3,9.9,17.25,-10.02,19.98
placebo,9,3,14.97,20.34,-7.62,31.83
placebo,10,3,15.33,12.25,3.9,28.26
placebo,11,3,23.94,8.06,14.86,30.24
placebo,12,3,18.85,12.57,9.72,33.18
placebo,13,3,11.94,9.89,2.63,22.33
placebo,14,3,10.04,9.75,1.18,20.48
placebo,15,3,11.28,7.24,4.04,18.52
placebo,16,3,8.28,13.66,-6.57,20.3
placebo,17,3,5.43,28.24,-27.02,24.42
placebo,18,3,9.49,36.22,-32.22,33.0
placebo,19,3,10.02,39.08,-34.55,38.39
placebo,20,3,12.67,45.23,-39.52,40.52
placebo,21,3,10.57,43.49,-39.64,36.21
placebo,22,3,4.46,42.49,-44.61,29.25
placebo,23,3,5.41,41.84,-42.76,32.75
placebo,24,3,10.81,40.56,-35.78,38.29
placebo,25,3,15.19,31.23,-20.75,35.73
placebo,26,3,10.9,22.53,-13.88,30.16
placebo,27,3,17.06,25.3,-11.89,34.95
placebo,28,3,25.32,28.29,-5.61,49.88
placebo,29,3,34.56,30.64,2.35,63.35
placebo,30,1,-2.15,,-2.15,-2.15
treated,-20,3,-30.06,18.15,-50.92,-17.81
treated,-19,3,-29.14,18.12,-48.59,-12.74
treated,-18,3,-21.26,11.21,-32.35,-9.93
treated,-17,3,-14.88,9.14,-24.65,-6.53
treated,-16,3,-11.32,8.42,-20.36,-3.7
treated,-15,3,-6.15,2.42,-8.89,-4.31
treated,-14,3,-1.04,3.03,-2.88,2.45
treated,-13,3,3.17,15.47,-9.58,20.38
treated,-12,3,2.04,27.97,-23.38,32.0
treated,-11,3,-4.49,35.0,-35.18,33.63
treated,-10,3,-8.06,44.01,-45.6,40.37
treated,-9,3,-9.11,50.03,-52.52,45.61
treated,-8,3,-1.3,62.54,-55.36,67.2
treated,-7,3,19.61,92.1,-59.05,120.92
treated,-6,3,31.26,101.97,-59.61,141.54
treated,-5,3,25.79,85.94,-59.01,112.82
treated,-4,3,28.11,74.82,-50.6,98.32
treated,-3,3,22.93,65.1,-51.11,71.19
treated,-2,3,29.27,68.0,-49.15,71.96
treated,-1,3,44.65,76.64,-43.66,93.7
treated,0,3,33.08,56.18,-31.69,68.66
treated,1,3,30.23,44.74,-20.05,65.63
treated,2,3,15.22,29.74,-18.98,34.98
treated,3,3,23.36,27.94,-8.74,42.2
treated,4,3,36.55,21.43,11.86,50.38
treated,5,3,46.54,18.58,34.08,67.9
treated,6,3,44.72,35.12,10.51,80.69
treated,7,3,48.64,58.79,1.56,114.53
treated,8,3,55.07,83.24,-6.03,149.88
treated,9,3,61.2,82.38,-2.42,154.26
treated,10,3,53.3,61.79,6.78,123.41
treated,11,3,41.14,55.44,6.86,105.1
treated,12,3,34.87,59.41,-4.37,103.22
treated,13,3,53.6,90.71,-10.38,157.41
treated,14,3,36.22,69.13,-15.25,114.79
treated,15,3,35.88,63.68,-11.01,108.38
treated,16,3,51.4,62.56,0.07,121.08
treated,17,3,52.36,49.03,-3.97,85.47
treated,18,3,42.49,58.69,-23.1,90.06
treated,19,3,42.66,64.5,-23.01,105.93
treated,20,3,50.45,67.79,-13.55,121.48
treated,21,3,61.37,75.53,-0.98,145.35
treated,22,3,72.99,87.66,7.43,172.56
treated,23,3,76.41,87.38,15.12,176.46
treated,24,3,59.5,50.09,30.17,117.33
treated,25,3,48.2,32.81,15.32,80.94
treated,26,3,45.85,24.21,18.28,63.65
treated,27,3,19.86,25.02,-8.4,39.18
treated,28,3,13.39,30.72,-21.39,36.85
treated,29,3,4.65,25.77,-24.33,24.96
treated,30,1,2.53,,2.53,2.53
